secprov,seccionId,name,circuitoId,mesasTotalizadas,cantidadElectores,EN_BLANCO,LLA_JxC,NO_VOTANTES,OTROS,UxP
2,38,Florencio Varela,0303A,31,10768,152,1422,4627,1259,3308
2,38,Florencio Varela,0303B,96,33928,758,3903,15469,4031,9767
2,39,General Alvarado,00305,91,31689,2508,5659,13094,4771,5657
2,39,General Alvarado,00306,20,6664,453,1438,2455,1018,1300
2,39,General Alvarado,00307,5,1479,107,333,558,306,175
2,39,General Alvarado,00308,3,829,59,172,379,67,152
2,39,General Alvarado,00309,1,64,1,14,37,5,7
2,40,General Alvear,00310,28,8916,1514,1058,3110,1670,1564
2,40,General Alvear,00311,1,75,11,2,39,19,4
2,40,General Alvear,00312,1,101,9,18,54,11,9
2,41,General Arenales,00314,18,5522,272,831,2160,979,1280
2,41,General Arenales,00315,1,168,7,24,85,22,30
2,41,General Arenales,00316,13,4458,257,828,1699,1030,644
2,41,General Arenales,00317,7,2162,223,309,783,448,399
2,41,General Arenales,00318,9,2860,174,445,1117,548,576
2,41,General Arenales,0316A,1,311,5,24,84,114,84
2,42,General Belgrano,00320,49,16933,720,2859,6187,3146,4021
2,42,General Belgrano,00322,1,111,3,13,54,18,23
2,42,General Belgrano,00324,2,294,6,51,113,35,89
2,43,General Guido,00326,8,1909,63,311,651,372,512
2,43,General Guido,00327,4,1142,30,94,392,209,417
2,44,General Lamadrid,00330,26,8720,401,1372,3447,1693,1807
2,44,General Lamadrid,00332,1,256,9,39,108,38,62
2,44,General Lamadrid,00334,2,620,22,76,301,125,96
2,44,General Lamadrid,00335,1,304,10,39,136,78,41
2,44,General Lamadrid,00336,1,49,2,7,20,10,10
2,45,General Las Heras,00547,39,13152,564,2549,3922,3022,3095
2,45,General Las Heras,00548,5,1454,50,207,478,374,345
2,45,General Las Heras,0548A,1,313,11,59,97,66,80
2,46,General Lavalle,00338,10,3327,75,374,1302,869,707
2,46,General Lavalle,0338A,6,1775,57,187,687,520,324
2,46,General Lavalle,0338B,2,616,21,83,226,199,87
2,47,General Juan Madariaga,00340,61,20606,651,2884,9093,4840,3138
2,47,General Juan Madariaga,00341,1,27,0,0,27,0,0
2,47,General Juan Madariaga,00343,1,76,1,11,41,15,8
2,48,General Paz,00345,29,9793,851,2226,2939,285,3492
2,48,General Paz,00346,2,183,17,39,80,4,43
2,48,General Paz,00348,3,868,62,168,281,26,331
2,48,General Paz,00349,1,53,8,8,18,3,16
2,48,General Paz,00350,1,37,1,8,22,0,6
2,48,General Paz,00351,4,1145,112,231,335,42,425
2,48,General Paz,00352,1,118,14,30,44,7,23
2,49,General Pinto,00354,22,7093,231,1048,2033,1123,2658
2,49,General Pinto,00357,4,1376,36,160,393,147,640
2,49,General Pinto,00358,1,58,3,5,25,5,20
2,49,General Pinto,00359,4,1124,36,198,386,148,356
2,49,General Pinto,00360,3,712,22,175,189,55,271
2,50,General Pueyrredon,00364,25,8806,844,2190,4168,410,1194
2,50,General Pueyrredon,00365,65,22468,3382,4991,8854,1163,4078
2,50,General Pueyrredon,00366,248,87239,7048,28023,35834,4950,11384
2,50,General Pueyrredon,00367,204,71718,6382,21609,27680,4603,11444
2,50,General Pueyrredon,00368,33,11234,1857,1606,5268,468,2035
2,50,General Pueyrredon,00369,26,9275,1210,1919,4473,401,1272
