secprov,seccionId,name,circuitoId,mesasTotalizadas,cantidadElectores,anioEleccion,EN_BLANCO,JxC,LLA,NO_VOTANTES,OTROS,UxP,VOTANTES
2,25,Coronel Dorrego,00237,3,890,2023,112,242,101,175,21,239,715
2,25,Coronel Dorrego,00238,6,1787,2023,160,552,282,396,25,372,1391
2,25,Coronel Dorrego,0236A,1,27,2023,4,5,9,5,2,2,22
2,25,Coronel Dorrego,0237A,1,67,2023,3,15,17,24,1,7,43
2,26,Coronel Pringles,00240,57,19701,2023,2203,4646,3728,5596,557,2971,14105
2,26,Coronel Pringles,00243,3,941,2023,77,217,217,290,11,129,651
2,26,Coronel Pringles,00246,1,73,2023,0,19,15,26,6,7,47
2,27,Coronel de Marina L. Rosales,00248,51,16855,2023,1416,4179,4108,4178,336,2638,12677
2,27,Coronel de Marina L. Rosales,00249,1,262,2023,22,71,85,50,7,27,212
2,27,Coronel de Marina L. Rosales,0248A,2,547,2023,36,120,107,147,10,127,400
2,27,Coronel de Marina L. Rosales,0248B,1,125,2023,0,25,38,54,0,8,71
2,27,Coronel de Marina L. Rosales,0248C,39,12997,2023,1530,2727,3693,2769,263,2015,10228
2,27,Coronel de Marina L. Rosales,0248D,17,5682,2023,643,995,1466,1667,79,832,4015
2,27,Coronel de Marina L. Rosales,0248E,32,10338,2023,1109,2730,2998,1872,169,1460,8466
2,27,Coronel de Marina L. Rosales,0248F,4,1160,2023,77,306,420,260,24,73,900
2,27,Coronel de Marina L. Rosales,0249A,5,1639,2023,123,413,448,386,43,226,1253
2,27,Coronel de Marina L. Rosales,0249B,1,280,2023,17,52,87,63,6,55,217
2,28,Coronel Suarez,00252,68,23665,2023,2652,5690,4326,5387,686,4924,18278
2,28,Coronel Suarez,00253,5,1687,2023,244,272,316,352,41,462,1335
2,28,Coronel Suarez,00254,14,4785,2023,493,1236,956,1281,96,723,3504
2,28,Coronel Suarez,00255,1,44,2023,2,24,4,10,1,3,34
2,28,Coronel Suarez,00258,1,216,2023,39,27,49,57,5,39,159
2,28,Coronel Suarez,0255A,2,48,2023,6,11,13,13,2,3,35
2,28,Coronel Suarez,0256A,1,232,2023,18,49,46,59,19,41,173
2,28,Coronel Suarez,0258A,7,2285,2023,274,364,546,481,81,539,1804
